x,y,z,fx,fy,fz,p
1.088508941930730556e+00,-2.243124705766184057e+00,-2.447024964002005198e+00,1.343393855576033680e+01,0.000000000000000000e+00,-1.343393855576033680e+01,6.332819367214365229e+02
-1.983827919598566636e+00,-4.377921493652179308e-01,1.551705986334173781e+00,-7.366520258355127737e+01,0.000000000000000000e+00,7.366520258355127737e+01,3.472610952287324835e+03
2.729194753539374574e+00,2.500000000000000000e+00,6.311494478888470816e-01,0.000000000000000000e+00,2.783916226727338294e+00,-0.000000000000000000e+00,9.279720755757792006e+01
-5.000809499602490438e-02,-2.500000000000000000e+00,-1.598788537042603597e+00,-0.000000000000000000e+00,-6.298750301634642668e+00,0.000000000000000000e+00,2.099583433878213725e+02
1.706884788708253886e+00,-2.500000000000000000e+00,-1.375824369382891099e+00,0.000000000000000000e+00,-4.672795478319192064e+00,0.000000000000000000e+00,1.557598492773063583e+02
3.335079030904082753e+00,-4.913127274130459909e-01,-2.004548750286527792e-01,5.803013174194852297e+01,0.000000000000000000e+00,-5.803013174194852297e+01,2.735566644525367792e+03
-3.490709817443216623e-01,-2.500000000000000000e+00,1.168118780257240807e+00,-0.000000000000000000e+00,-7.133885578259397064e+00,0.000000000000000000e+00,2.377961859419798429e+02
1.815478611888274862e+00,-6.872159155006607456e-01,-1.720055294044460892e+00,6.991704974143634388e+01,0.000000000000000000e+00,-6.991704974143634388e+01,3.295921332848452494e+03
1.475733753497542988e+00,2.500000000000000000e+00,1.680150354728205064e+00,0.000000000000000000e+00,4.540518237312068273e+00,-0.000000000000000000e+00,1.513506079104022604e+02
5.201723464291321264e-01,2.500000000000000000e+00,-2.909627811669638131e+00,0.000000000000000000e+00,2.324825183032496856e+00,0.000000000000000000e+00,7.749417276774988750e+01
-4.532155093713042260e-01,-2.415323792681577153e+00,-3.082318396561433804e+00,-4.727776261895968446e+00,-0.000000000000000000e+00,-4.727776261895968446e+00,2.228695103146283714e+02
-2.047893116271227498e+00,1.944024288118396449e+00,1.487640789661513141e+00,-2.747030775304166994e+01,0.000000000000000000e+00,2.747030775304166994e+01,1.294962726230476846e+03
-5.077126607908137856e-01,2.500000000000000000e+00,2.448845716183887689e+00,0.000000000000000000e+00,3.722001103796326760e+00,-0.000000000000000000e+00,1.240667034598775302e+02
2.956684146394674251e+00,-2.233018320968072068e-01,5.788497595380639460e-01,6.674836261511053692e+01,0.000000000000000000e+00,6.674836261511055113e+01,3.146547989216219321e+03
-1.806425843824569943e+00,-9.602884234603896729e-01,1.729108062108170474e+00,-6.359623665212477306e+01,0.000000000000000000e+00,6.359623665212477306e+01,2.997955346310791811e+03
-1.477338454373287924e+00,2.500000000000000000e+00,1.522005838574969738e+00,0.000000000000000000e+00,4.884767285808895743e+00,-0.000000000000000000e+00,1.628255761936298143e+02
1.704519023473489492e+00,2.285379006927346079e+00,-1.831014882459246262e+00,1.218406876050293164e+01,0.000000000000000000e+00,-1.218406876050293164e+01,5.743625095329863370e+02
5.341734552447106044e-01,-2.500000000000000000e+00,2.739353593917548402e+00,0.000000000000000000e+00,-2.815401687439699430e+00,0.000000000000000000e+00,9.384672291465662397e+01
2.187748873376093695e+00,2.494551061290275484e-01,-1.347785032556641838e+00,7.467287479158120789e+01,0.000000000000000000e+00,-7.467287479158120789e+01,3.520113075721404584e+03
